drug,n_rows,MAE,RMSE,R2,Spearman
Nazartinib,77,0.5409507755385828,0.7136414709011805,0.3223297343037652,0.5016950191050279
Erlotinib,77,0.5724748844134373,0.7250966725547437,0.5116494353249927,0.7426536307412258
Gefitinib,77,0.574534805339337,0.7052986089440553,0.4920596511559815,0.7385745894046806
AZ5104,76,0.6296422033882478,0.8109688640256277,0.2613476705449742,0.4387029647839557
Osimertinib,77,0.6473789851992101,0.8797855099863098,0.30855760861836945,0.40955556288704026
Naquotinib,77,0.6711500821685971,0.8689856350592433,-0.1005351389156377,0.23160882353239373
Olmutinib,77,0.6758296302582775,0.9711793177058312,0.09417766059227117,0.4291225349912536
AZD3759,77,0.6773728127273025,0.9467348672762679,0.42775787375762453,0.72620134699055
Tarlox-TKI,77,0.6785601515948165,0.8641382591562686,0.5178247127001336,0.7091466343073224
Afatinib,77,0.7015830825892214,0.8993299909334938,0.5095685285428331,0.6949009732710067
Mobocertinib,76,0.703646914118493,0.9000654449688631,0.34257351544388226,0.3872309659422538
Poziotinib,77,0.7148875976743823,0.9522992925875711,0.46043064879245277,0.6032938844838525
Rociletinib,77,0.7365796031598533,1.0006830267346272,-0.6051580663270981,0.21935155221967925
Neratinib,77,0.7514500405215163,0.9748833628022554,0.3167168413304081,0.5906216802271905
Lazertinib,73,0.7528853945109798,1.0107116802792915,0.2987949552229837,0.4831228189996895
CLN-081,77,0.8138666186805116,1.1350817814071645,-0.19461671229831135,0.2305438150469179
Dacomitinib,77,0.8768482913940651,1.0796882449399674,0.4499169602328822,0.6945715176503705
Sapatinib,77,0.9213715876618923,1.1407092265457732,0.5130620033943806,0.76180419256429
